id,reference_number,status,subscription_id,state,grand_total,subtotal,tax_amount,total_due,total_invoiced,total_item_count,total_paid,total_qty_ordered,total_refunded,discount_amount,order_currency_code,giftcert_amount,coupon_code,coupon_rule_name,customer_group_id,customer_account_id,customer_is_guest,shipping_amount,shipping_description,shipping_discount_amount,shipping_hidden_tax_amount,shipping_incl_tax,shipping_invoiced,shipping_method,shipping_refunded,how_did_you_hear,how_did_you_hear_other,created_at,updated_at,order_has_subscription,order_has_ecommerce,customer_email,customer_fname,customer_lname
2472,100002241,complete,,complete,4.99,15,0,0,4.99,1,4.99,1,,-10.01,USD,,GET499,Content Banner Coupon,1,1567,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/2/2012 3:19,10/11/2012 22:45,1,0,DAYFJOUJXQ@JRU.PRD,MJCCNQI,RFJO
5583,100005013,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1494,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 14:24,2/19/2013 1:16,1,0,DQAPJUTCHD@FJNRR.PRD,THDRCNF,MQAPJUT
802,100000733,complete,,complete,75.49,85.5,0,0,75.49,1,75.49,1,,-10.01,USD,,GET499,Content Banner Coupon,1,835,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/26/2012 16:20,9/11/2012 3:37,1,0,YHPXCNRDSMRO@FJNRR.PRD,RHPNJYA,TNRDSMRO
2904,100002586,complete,,complete,4.99,15,0,0,4.99,1,4.99,1,,-10.01,USD,,GET499,Content Banner Coupon,1,1873,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/19/2012 2:15,11/13/2012 18:58,1,0,MPRCCKHWK@FJNRR.PRD,BQJBTRYA,SPRCC
51995,100048147,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1398,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/5/2013 16:56,10/5/2013 16:56,1,0,OJCNROWJBAYQJB@WDJHU.PRD,NJCNRO ,GJBAYQJB
9067,100008241,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1515,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 13:35,2/19/2013 1:30,1,0,ZHD6264@FJNRR.PRD,ZJDQM,CNQQLQY
48092,100044402,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,9/23/2013 19:48,9/23/2013 19:48,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
212462,100199313,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1907,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2014 15:22,12/11/2014 4:44,1,0,YKFDQY78@NRCDJHU.PRD,RJOAF ,BFDQY
3631,100003208,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,508,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2012 8:32,11/13/2012 19:43,1,0,JLXBYC@DJP.PRD,KBYC,NQUMRO
83185,100077397,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,601,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,3/9/2014 18:40,3/9/2014 18:40,1,0,ZYRKQYCM84@TYROCHQY.PRD,ZJDQM,YRKQYCM
14937,100013541,processing,,processing,93.2,85.5,7.7,,93.2,1,93.2,1,,0,USD,0,null,null,1,657,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,3/1/2013 8:21,3/1/2013 8:21,1,0,DPJW306@FJNRR.PRD,MJYF,KUHOQ
9134,100008308,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1711,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 14:39,2/19/2013 1:30,1,0,YUQUUHM@SCA.OQC,RRKQYC,EUUHM
48895,100045076,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1764,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/1/2013 8:43,10/1/2013 8:43,1,0,DQCJUYBUV89@FDJHU.PRD,EYHP,CUJTUHO
53652,100049610,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1753,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2013 8:17,11/1/2013 8:17,1,0,CBARY78@NRCDJHU.PRD,SCQLQO,TBARY
1574424,101521797,complete,,complete,16.46,15,1.46,0,16.46,1,16.46,1,,0,USD,0,null,null,1,971,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,1/1/2017 6:15,1/10/2017 4:37,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
1539001,101488043,complete,,complete,0,40,0,0,0,1,0,1,,-40,USD,0,GVTYQRRS9RD6CFRESH,Groupon Grab Bag Dec 2016 - Freshwater,0,,1,0,Free Shipping,0,0,0,0,mtb_shipping_us,,Other,GROUPON,12/7/2016 17:49,12/8/2016 18:37,0,1,AQMCDLJMEBQV@FJNRR.PRD,JENNIFER,VASQUEZ
5295,100004725,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,776,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 9:39,2/19/2013 1:17,1,0,MCSNOYQQL1@JRU.PRD,SCQSNQO,RQQLQM
2106,100001894,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/1/2012 7:35,10/11/2012 22:29,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
39110,100035959,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1743,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/1/2013 11:36,8/1/2013 11:36,1,0,UBYPNJMJYBM@WDJHU.PRD,JJDQM,CRDKM
611,100000578,complete,,complete,91.49,85.5,5.99,0,91.49,1,91.49,1,,0,USD,,null,null,1,657,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/12/2012 22:59,9/11/2012 3:33,1,0,DPJW306@FJNRR.PRD,MJYF,KUHOQ
86846,100080477,processing,,processing,43.5,43.5,0,,43.5,1,43.5,1,,0,USD,0,null,null,1,3437,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,4/1/2014 8:02,4/1/2014 8:02,1,0,XJOAYQIM09@DMO.PRD,KQOOQCN,AOAYQIM
1095,100000997,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,248,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,9/1/2012 20:53,9/11/2012 3:28,1,0,PZMCHUIQUUYO@JCC.OQC,CNJYUQM,SCHUIQUU
19543,100017680,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1753,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,4/1/2013 11:17,4/1/2013 11:17,1,0,CBARY78@NRCDJHU.PRD,SCQLQO,TBARY
5700,100005128,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1753,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 16:12,2/19/2013 1:16,1,0,CBARY78@NRCDJHU.PRD,SCQLQO,TBARY
58784,100054477,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1251,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2013 7:50,12/1/2013 7:50,1,0,JYDFLQC1364@FJNRR.PRD,IJUCQY,JCIRRA
139092,100128602,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/1/2014 13:52,8/1/2014 13:52,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
23422,100021206,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,280,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/1/2013 5:55,5/1/2013 5:55,1,0,JAJD@THMNJOANBOC.PRD,AAJD,MBYYJF
1548846,101497553,complete,,complete,72,72,0,,72,1,72,1,,0,USD,0,null,null,0,,1,0,null,0,0,0,0,null,,From a Friend,null,12/13/2016 17:36,12/13/2016 17:36,0,0,AZROQM@DQYPFNBYMC.QAB,DJYPH,JROQM
1176234,101132107,complete,,complete,25,25,0,0,25,1,25,1,,0,USD,0,null,null,1,1893,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,8/2/2016 0:56,8/9/2016 4:42,1,0,Z-KYBOQY@NRCDJHU.PJ,JJPXHQ,SQPROAPRMC
623902,100597611,complete,,complete,18,20,0,0,18,1,18,1,,-2,USD,0,GIFTS10PCT,10% Off Gifts,0,,1,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/25/2015 19:37,12/1/2015 0:08,0,1,AZKBYXUQ@FJNRR.PRD,PJCYHPX  ,BBYXQ  
3178594,103110333,complete,216690,complete,0,0,0,0,0,1,0,1,,0,USD,0,null,null,1,1382,,0,Free Shipping - Free,0,0,0,0,freeshipping_freeshipping,,null,null,3/1/2018 13:28,3/6/2018 11:33,1,0,ZYBMNHOWRR77@WDJHU.PRD,JRMN,RBMNHOW
457498,100435297,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,554,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,8/1/2015 6:08,8/10/2015 21:12,1,0,JWY1259@NRCDJHU.PRD,FYHCV,PHQSDQHQY
33907,100030983,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1056,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,7/1/2013 7:33,7/1/2013 7:33,1,0,X.QUUMIRYCN@DJYHQCCJ-OAC.PRD,KQOOF,EUUMIRYCN
169241,100157234,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,971,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/1/2014 5:18,10/1/2014 5:18,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
14944,100013548,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,666,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,3/1/2013 8:28,3/1/2013 8:28,1,0,XUJIMRO25@FJNRR.PRD,KQHCN,LJIMRO
348590,100330725,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1609,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/1/2015 17:31,5/8/2015 17:05,1,0,AJOUQMCQY11@WDJHU.PRD,DAN,LESTER
5566,100004996,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1449,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 14:07,2/19/2013 1:16,1,0,KUJHOQ.XHYPNQYC@WDJHU.PRD,BUJHOQ ,KHYPNQYC
86774,100080405,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1687,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,4/1/2014 6:51,4/1/2014 6:51,1,0,DPPUHOCHPX.CHD@WDJHU.PRD,THD,MPPUHOCHPX
3577,100003154,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,385,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2012 7:38,11/13/2012 19:42,1,0,DGE75@FJNRR.PRD,PJCYHPX,TNRDSMRO
5643,100005073,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1649,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 15:22,2/19/2013 1:16,1,0,ARP11A7@FJNRR.PRD,DANIEL,HERR
2501324,102433032,complete,216690,complete,0,0,0,0,0,1,0,1,,0,USD,0,null,null,1,1382,,0,Free Shipping - Free,0,0,0,0,freeshipping_freeshipping,,null,null,9/1/2017 9:45,9/5/2017 6:15,1,0,ZYBMNHOWRR77@WDJHU.PRD,JRMN,RBMNHOW
262390,100247422,complete,,complete,0,0,0,0,0,1,0,1,,0,USD,0,null,null,1,1647,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,2/1/2015 6:42,2/11/2015 0:24,1,0,PZF0BOW85@WDJHU.PRD,CUHTTRYA,YRBOW
8728,100007902,complete,,complete,16.09,15,1.09,0,16.09,1,16.09,1,,0,USD,0,null,null,1,465,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 7:57,2/19/2013 1:29,1,0,YDRBOMQF@PRDPJMC.OQC,RRKQYC,MRBOMQF
3781,100003357,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,908,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2012 11:01,11/13/2012 19:50,1,0,KYHJO.CYJO.1337@WDJHU.PRD,BYHJO,TYJO
113924,100105655,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,530,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,6/1/2014 15:59,6/1/2014 15:59,1,0,PRKFKQPXOQY@SUJCQJBCQU.OQC,CRKF,BQPXOQY
86757,100080388,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1456,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,4/1/2014 6:34,4/1/2014 6:34,1,0,QDCS699@WDJHU.PRD,MHPNJQU,GHUURCC
290549,100274731,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1609,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,3/1/2015 7:20,3/11/2015 1:07,1,0,AJOUQMCQY11@WDJHU.PRD,DAN,LESTER
903558,100868493,complete,,complete,24.99,24.99,0,0,24.99,2,24.99,2,,0,USD,0,null,null,1,1363,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,4/18/2016 19:42,4/19/2016 16:03,1,0,OJCJUFJ.NJVVJYA@WDJHU.PRD,OJCJUFJ,NJVVJYA
5658,100005088,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1687,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 15:36,2/19/2013 1:16,1,0,DPPUHOCHPX.CHD@WDJHU.PRD,THD,MPPUHOCHPX
236,100000229,complete,,complete,20,30,0,0,20,2,20,2,,-10,USD,,FIRSTBOX5,First Box Promo,1,210,0,0,Free Shipping - Free,0,0,0,0,flatrate_flatrate,,null,null,7/16/2012 22:15,8/10/2012 16:10,1,0,JDJCNQOF21@WDJHU.PRD,AOWHQ,MJCNQOF
53583,100049541,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1227,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2013 7:08,11/1/2013 7:08,1,0,AJOKYRFUQM@KQUUMRBCN.OQC,DAN,BROYLES
2671660,102603349,complete,742,complete,16.45,14.99,1.46,0,16.45,1,16.45,1,,0,USD,0,null,null,1,971,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,11/1/2017 0:00,11/9/2017 11:32,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
348570,100330705,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,971,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/1/2015 17:30,5/8/2015 17:05,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
15156,100013760,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1534,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,3/1/2013 11:56,3/1/2013 11:56,1,0,ZIDRRAF@OQCVQYR.OQC,JQYYF,MRRAF
5276,100004706,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,698,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 9:20,2/19/2013 1:17,1,0,ZRAFHPJMHJOR@ZBOR.PRD,JRAF ,IPJMHJOR
152825,100141537,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,9/1/2014 5:20,9/1/2014 5:20,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
979016,100940509,awaiting_shipment,,processing,0,20,0,0,0,1,0,1,,-20,USD,0,GPN-3L8-WO4,Groupon Single Gift Box,0,,1,0,Flat Rate: 4-7 business days - Fixed,0,,0,0,flatrate_flatrate,,null,null,5/29/2016 13:25,5/31/2016 14:43,0,1,XJCQDBUHW@WDJHU.PRD,KJCNQYHOQ,MBUHW
53485,100049443,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,210,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2013 5:30,11/1/2013 5:30,1,0,JDJCNQOF21@WDJHU.PRD,AOWHQ,MJCNQOF
5172,100004602,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,336,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 7:36,2/19/2013 1:17,1,0,KSJPXQYCG@FJNRR.PRD,ZJDQM,CQJWBQ
11810,100010751,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1056,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,2/1/2013 14:05,2/19/2013 1:41,1,0,X.QUUMIRYCN@DJYHQCCJ-OAC.PRD,KQOOF,EUUMIRYCN
33869,100030945,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,832,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,7/1/2013 6:55,7/1/2013 6:55,1,0,NJDDRO1954@FJNRR.PRD,MHPNJQU,HJDDRO
19380,100017517,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1086,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,4/1/2013 8:35,4/1/2013 8:35,1,0,PNJMQ0555@WDJHU.PRD,PNJMQ,ZRNOMRO
23485,100021269,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,554,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/1/2013 6:57,5/1/2013 6:57,1,0,JWY1259@NRCDJHU.PRD,FYHCV,PHQSDQHQY
2519,100002275,complete,,complete,4.99,15,0,0,4.99,1,4.99,1,,-10.01,USD,,GET499,Content Banner Coupon,1,1609,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/4/2012 1:24,11/13/2012 18:50,1,0,AJOUQMCQY11@WDJHU.PRD,DAN,LESTER
1249318,101202880,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1837,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,9/1/2016 17:25,9/8/2016 3:27,1,0,MSQPCRY513@WDJHU.PRD,BYJA,HQOMRO
1353369,101305344,complete,,complete,16.46,15,1.46,0,16.46,1,16.46,1,,0,USD,0,null,null,1,971,,0,Free Shipping - Free,0,,0,0,freeshipping_freeshipping,,null,null,10/1/2016 15:44,10/8/2016 1:42,1,0,JPYJOTRYA1118@PRDPJMC.OQC,AOAF,CYJOTRYA
5363,100004793,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,279,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,12/1/2012 10:47,2/19/2013 1:17,1,0,PRFRCQMDRXQY@MCOF.YY.PRD,LFOO,WHUPRG
12200,100011138,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1175,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,2/1/2013 20:10,2/19/2013 1:42,1,0,CRAANJOA1@WDJHU.PRD,TRAA,HJOA
9096,100008270,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1594,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 14:04,2/19/2013 1:30,1,0,ZBMC3SUBMDQ@NRCDJHU.PRD,CJCNF ,AUQGJOAQY 
9135,100008309,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,1722,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 14:40,2/19/2013 1:30,1,0,NRIJYAIJAQTHMN2660@FJNRR.PRD,HOWARD,ODOM
8707,100007881,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,0,null,null,1,372,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,1/1/2013 7:36,2/19/2013 1:29,1,0,TUJ_NRMM@FJNRR.PRD,YRO,MCHUUM
3045284,102977034,complete,362075,complete,14.99,14.99,0,0,14.99,1,14.99,1,,0,USD,0,null,null,1,1837,,0,Free Shipping - Free,0,0,0,0,freeshipping_freeshipping,,null,null,2/1/2018 7:39,2/8/2018 8:35,1,0,MSQPCRY513@WDJHU.PRD,BYJA,HQOMRO
1491,100001367,complete,,complete,0,0,0,0,0,1,0,1,,0,USD,,null,null,1,550,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,9/10/2012 17:04,9/12/2012 22:23,0,1,MJUCFNJDD@WDJHU.PRD,YBMMQUU,NJDD
619467,100593508,complete,,complete,0,20,0,0,0,1,0,1,,-20,USD,0,GPN-BDG-OGU,Groupon Single Gift Box,0,,1,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/17/2015 17:59,12/11/2015 5:13,0,1,ZUJCNJUU@JCC.OQC,JQMMHPJ,HJUU
2628,100002383,complete,,complete,4.99,15,0,0,4.99,1,4.99,1,,-10.01,USD,,GET499,Content Banner Coupon,1,1615,0,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,10/4/2012 23:10,11/13/2012 18:51,1,0,PRBWKRK@IMBPRBWJYM.PRD,RRKQYC,AOAQYKQYW
2828206,102759924,complete,216690,complete,0,0,0,0,0,1,0,1,,0,USD,0,null,null,1,1382,,0,Free Shipping - Free,0,0,0,0,freeshipping_freeshipping,,null,null,12/1/2017 8:36,12/4/2017 18:01,1,0,ZYBMNHOWRR77@WDJHU.PRD,JRMN,RBMNHOW
24959,100022726,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,764,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,5/2/2013 5:39,5/2/2013 5:39,1,0,DHOQHMPRRUQY@WDJHU.PRD,MHXQ,PJMPRQ
3789,100003365,complete,,complete,15,15,0,0,15,1,15,1,,0,USD,,null,null,1,279,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2012 11:09,11/13/2012 19:50,1,0,PRFRCQMDRXQY@MCOF.YY.PRD,LFOO,WHUPRG
1539780,101488760,complete,,complete,0,40,0,0,0,1,0,1,,-40,USD,0,GMXBFOAYTGIEMFRESH,Groupon Grab Bag Dec 2016 - Freshwater,0,,1,0,Free Shipping,0,0,0,0,mtb_shipping_us,,Other,Groupon,12/8/2016 20:17,12/9/2016 14:38,0,1,MCQSNJOHQ.NQOAQYM3@WDJHU.PRD,SCQSNJOHQ,HQOAQYMRO
53601,100049559,processing,,processing,15,15,0,,15,1,15,1,,0,USD,0,null,null,1,1363,,0,Flat Rate - Fixed,0,0,0,0,flatrate_flatrate,,null,null,11/1/2013 7:26,11/1/2013 7:26,1,0,OJCJUFJ.NJVVJYA@WDJHU.PRD,OJCJUFJ,NJVVJYA
